City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Rikitea,PF,74.82,clear sky,-23.1203,-134.9692,People ThankYou
5,Padang,ID,76.73,overcast clouds,-0.9492,100.3543,Mercure Padang
7,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
8,Mana,GF,82.51,broken clouds,5.6592,-53.7767,LE SAMANA
11,Sao Felix Do Xingu,BR,81.75,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
14,Cabo San Lucas,MX,85.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
16,Nampula,MZ,78.75,clear sky,-15.1165,39.2666,BUTIK Hotel
18,Atuona,PF,77.31,light rain,-9.8,-139.0333,Villa Enata
25,Lobito,AO,76.55,broken clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
28,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Inhambane,MZ,74.77,overcast clouds,-23.865,35.3833,Oceano
31,Castro,BR,80.65,few clouds,-24.7911,-50.0119,CHACARA BAILLY
35,Aquiraz,BR,84.29,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
36,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Butaritari,KI,80.74,moderate rain,3.0707,172.7902,Isles Sunset Lodge
44,Bubaque,GW,82.63,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
57,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
60,Rodrigues Alves,BR,89.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
61,Brazzaville,CG,75.83,light rain,-4.2658,15.2832,Hotel Muesse
65,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
71,Humberto De Campos,BR,84.43,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
72,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Cidreira,BR,75.2,clear sky,-30.1811,-50.2056,Hotel Castelo
85,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
88,Kisangani,CD,72.32,overcast clouds,0.5167,25.2,Grand Ramela Hotel
91,Buyabod,PH,79.5,few clouds,13.4666,122.0526,Dewey Hotel & Restaurant
94,Chuy,UY,86.68,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
95,Sao Filipe,CV,80.64,clear sky,14.8961,-24.4956,Hotel Xaguate
99,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
103,Baculin,PH,77.61,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
104,Ormara,PK,76.14,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
107,La Macarena,CO,83.55,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
108,Edgewater,US,75.34,scattered clouds,28.9889,-80.9023,Islander Beach Resort
109,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
115,Itarema,BR,81.32,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
117,Morant Bay,JM,87.42,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
118,Omboue,GA,76.44,overcast clouds,-1.5746,9.2618,Hotel Olako
122,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
123,Buchanan,LR,78.76,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
129,Harper,LR,78.58,light rain,4.375,-7.7169,Screensaver
132,Lompoc,US,84.0,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
135,Hithadhoo,MV,80.78,overcast clouds,-0.6,73.0833,Scoop Guest House
141,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
142,Atambua,ID,75.24,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
144,Paka,MY,76.98,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
151,Acarau,BR,81.72,overcast clouds,-2.8856,-40.12,castelo pizzaria
158,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
160,Hambantota,LK,77.67,overcast clouds,6.1241,81.1185,Bungalow 63
162,Sibolga,ID,75.54,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
166,Meulaboh,ID,75.34,overcast clouds,4.1363,96.1285,Kost Pria
168,Bengkulu,ID,75.54,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
169,Pauini,BR,73.8,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
171,Kendari,ID,74.57,broken clouds,-3.945,122.4989,Hotel Wixel
175,Akyab,MM,74.1,overcast clouds,20.15,92.9,Hotel Memory
