City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ribeira Grande,PT,38.5167,-28.7,66.6,88,40,17.27,scattered clouds
1,Yellowknife,CA,62.456,-114.3525,-1.59,78,75,14.97,broken clouds
2,Busselton,AU,-33.65,115.3333,54.05,65,99,8.95,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,74.82,69,1,10.51,clear sky
4,Albany,US,42.6001,-73.9662,40.23,50,71,1.99,broken clouds
5,Padang,ID,-0.9492,100.3543,76.73,80,100,3.2,overcast clouds
6,Mirassol,BR,-20.8192,-49.5211,92.88,26,20,6.91,few clouds
7,Touros,BR,-5.1989,-35.4608,83.3,74,88,15.5,overcast clouds
8,Mana,GF,5.6592,-53.7767,82.51,74,51,9.6,broken clouds
9,Mataura,NZ,-46.1927,168.8643,51.08,71,19,2.75,few clouds
10,Ushuaia,AR,-54.8,-68.3,42.46,61,75,26.46,broken clouds
11,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.75,77,100,1.79,overcast clouds
12,Krasnoselkup,RU,65.7,82.4667,16.75,94,100,18.79,light snow
13,Yurga,RU,55.7231,84.8861,28.36,88,100,21.07,light snow
14,Cabo San Lucas,MX,22.8909,-109.9124,85.51,62,20,3.0,few clouds
15,Port Alfred,ZA,-33.5906,26.891,67.14,90,100,13.78,light rain
16,Nampula,MZ,-15.1165,39.2666,78.75,69,0,8.05,clear sky
17,Lebu,CL,-37.6167,-73.65,60.35,71,22,20.87,few clouds
18,Atuona,PF,-9.8,-139.0333,77.31,80,22,13.33,light rain
19,Hobart,AU,-42.8794,147.3294,56.12,88,75,1.99,broken clouds
20,Chokurdakh,RU,70.6333,147.9167,-13.59,100,100,2.89,overcast clouds
21,Khokhlovo,RU,59.1492,37.3998,17.62,87,14,8.41,few clouds
22,Narsaq,GL,60.9167,-46.05,23.22,75,100,5.23,overcast clouds
23,Berlevag,NO,70.8578,29.0864,24.75,80,75,13.8,light shower snow
24,Isiro,CD,2.7739,27.616,67.44,81,89,0.76,overcast clouds
25,Lobito,AO,-12.3481,13.5456,76.55,83,78,6.76,broken clouds
26,New Norfolk,AU,-42.7826,147.0587,55.76,76,88,1.72,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,46.51,46,75,23.02,broken clouds
28,Saint-Philippe,RE,-21.3585,55.7679,74.79,74,39,7.76,scattered clouds
29,Mahebourg,MU,-20.4081,57.7,75.49,78,40,3.44,light rain
30,Inhambane,MZ,-23.865,35.3833,74.77,75,92,10.89,overcast clouds
31,Castro,BR,-24.7911,-50.0119,80.65,40,16,3.67,few clouds
32,Luderitz,NA,-26.6481,15.1594,61.41,90,2,12.93,clear sky
33,Vytegra,RU,61.0064,36.4481,23.34,77,96,11.34,overcast clouds
34,Cape Town,ZA,-33.9258,18.4232,65.12,56,0,23.02,clear sky
35,Aquiraz,BR,-3.9014,-38.3911,84.29,72,74,10.67,broken clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,80.56,67,9,11.03,clear sky
37,Bredasdorp,ZA,-34.5322,20.0403,61.29,72,100,10.74,overcast clouds
38,Tasiilaq,GL,65.6145,-37.6368,26.76,58,53,5.68,broken clouds
39,Tiksi,RU,71.6872,128.8694,-16.53,97,86,8.75,overcast clouds
40,Saldanha,ZA,-33.0117,17.9442,62.65,80,12,22.44,few clouds
41,Hermanus,ZA,-34.4187,19.2345,64.9,75,81,13.29,broken clouds
42,Stornoway,GB,58.2093,-6.3865,44.92,93,75,4.0,light rain
43,Butaritari,KI,3.0707,172.7902,80.74,81,33,14.85,moderate rain
44,Bubaque,GW,11.2833,-15.8333,82.63,78,11,12.86,few clouds
45,Klaksvik,FO,62.2266,-6.589,47.32,77,100,27.89,overcast clouds
46,Haines Junction,CA,60.7522,-137.5108,1.35,66,100,10.36,overcast clouds
47,Severo-Kurilsk,RU,50.6789,156.125,34.23,81,5,4.76,clear sky
48,Bethel,US,41.3712,-73.414,49.55,70,90,1.99,overcast clouds
49,Leningradskiy,RU,69.3833,178.4167,-17.03,96,31,4.81,scattered clouds
50,Bluff,NZ,-46.6,168.3333,52.14,63,62,8.5,broken clouds
51,Kaitangata,NZ,-46.2817,169.8464,52.07,67,13,5.32,few clouds
52,Norman Wells,CA,65.282,-126.8329,-18.36,76,75,3.44,light snow
53,Baherden,TM,38.4362,57.4316,56.68,40,99,4.54,overcast clouds
54,Aykhal,RU,66.0,111.5,-28.52,100,95,5.77,overcast clouds
55,Victoria,HK,22.2855,114.1577,62.26,75,100,1.01,overcast clouds
56,Ulladulla,AU,-35.35,150.4667,63.88,78,100,3.4,overcast clouds
57,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,64,0,11.5,clear sky
58,Lavumisa,SZ,-27.31,31.892,69.17,88,100,7.36,light rain
59,Mar Del Plata,AR,-38.0023,-57.5575,69.1,68,0,5.99,clear sky
60,Rodrigues Alves,BR,-7.738,-72.6509,89.8,66,100,3.71,overcast clouds
61,Brazzaville,CG,-4.2658,15.2832,75.83,88,97,0.6,light rain
62,Teguise,ES,29.0605,-13.564,64.62,83,20,2.3,few clouds
63,Panguna,PG,-6.3164,155.4848,69.64,91,87,2.53,overcast clouds
64,Coahuayana,MX,18.7333,-103.6833,90.88,50,4,6.62,clear sky
65,Kahului,US,20.8947,-156.47,83.46,77,40,17.27,scattered clouds
66,Port Elizabeth,ZA,-33.918,25.5701,66.49,88,75,8.05,light rain
67,Isetskoye,RU,56.4858,65.3226,23.02,91,54,11.43,broken clouds
68,Dalvik,IS,65.9702,-18.5286,49.93,91,100,16.17,overcast clouds
69,Nikolskoye,RU,59.7035,30.7861,24.8,89,92,3.83,overcast clouds
70,Taoudenni,ML,22.6783,-3.9836,83.23,28,98,5.73,overcast clouds
